Year;LTE;Teatment;Temperature (?C);TONgkg;Cgkg;MolarCN;F14C;err ;d14C
2011;M6-1957;211;325;1.084121073;6.8878;7.412241002;0.8711;0.0018;-136.8
2015;M2-1957;211;325;0.948216441;5.2494;6.458757447;0.9296;0.0038;-78.8
2015;M6-1957;211;325;1.125706417;7.8607;8.1467215;0.8095;0.0017;-197.8
2019;M2-1957;211;325;0.954509323;5.4305;6.637529023;0.9122;0.003;-96
2010;M4-1957;211;325;0.656502985;3.4712;6.168644203;0.7982;0.0031;-209
2019;M6-1957;211;325;1.116909449;7.6604;8.001663289;0.8588;0.0017;-149
1971;R94-1966;211;325;1.45350796;7.4331;5.966221196;0.896;0.002;-112.1
1957;M2-1957;211;Soil;2.125428016;25.31;13.89288798;0.9108;0.0018;-97.4
1957;M4-1957;211;Soil;1.268267565;13.37;12.29892947;0.7395;0.0022;-267.2
1957;M6-1957;211;Soil;2.331595033;27.46;13.74023628;0.8744;0.0018;-133.5
1962;M2-1957;211;Soil;1.947341772;21.24;12.725039;0.9716;0.0018;-37.2
1962;M4-1957;211;Soil;1.273050193;12.48;11.43709814;0.792;0.0022;-215.1
1962;M6-1957;211;Soil;1.977753906;26.19;15.44934377;0.8769;0.0018;-131
1966;M2-1957;211;Soil;2.073495146;22.67;12.75543538;0.9937;0.0019;-15.3
1966;M4-1957;211;Soil;1.120143541;11.05;11.50894167;0.9293;0.0023;-79.1
1966;M6-1957;211;Soil;1.985840708;24.36;14.31131907;0.9094;0.0017;-98.8
1971;M2-1957;211;Soil;1.318517787;13.3;11.76826496;0.8741;0.0024;-133.8
1971;M4-1957;211;Soil;1.0871;10.43;11.19338914;0.8954;0.0023;-112.7
1971;M6-1957;211;Soil;2.037198068;23.16;13.26331515;0.9436;0.0018;-65
1976;M2-1957;211;Soil;2.07688716;22.19;12.46496865;0.9954;0.0019;-13.6
1976;M4-1957;211;Soil;1.096945813;10.33;10.98656518;0.9399;0.0024;-68.6
1976;M6-1957;211;Soil;1.802233941;22.9;14.82419461;0.9376;0.0019;-70.8
1980;M2-1957;211;Soil;1.858640777;20.17;12.66068568;1.0221;0.0019;12.8
1980;M4-1957;211;Soil;1.108347911;10.11;10.6419653;0.9204;0.0023;-87.9
1980;M6-1957;211;Soil;1.697257591;21.09;14.49691558;0.9581;0.0018;-50.6
1984;M2-1957;211;Soil;1.736449136;18.33;12.31536217;1.0065;0.0021;-2.6
1984;M4-1957;211;Soil;1.057756098;10.04;11.07375638;0.9002;0.0023;-108
1984;M6-1957;211;Soil;1.807808765;23.15;14.93981767;0.9459;0.0018;-62.6
1988;M2-1957;211;Soil;1.829315738;19.59;12.49374262;1.0051;0.002;-3.9
